,log_realized_volatility
2002-01-31,-3.057999661864153
2002-02-28,-2.9799350071903916
2002-03-31,-3.10739363963361
2002-04-30,-3.0313070929650197
2002-05-31,-2.7538487761487103
2002-06-30,-2.7963899311292977
2002-07-31,-2.093671764421958
2002-08-31,-2.3349652503107428
2002-09-30,-2.4457724947083546
2002-10-31,-2.238148587459012
2002-11-30,-2.710705924175827
2002-12-31,-2.966939749810607
2003-01-31,-2.6330623630544365
2003-02-28,-2.984074575300045
2003-03-31,-2.5487601885345423
2003-04-30,-2.9002583606826637
2003-05-31,-3.054018052228417
2003-06-30,-3.1099359128331163
2003-07-31,-3.097780080301474
2003-08-31,-3.468517511759465
2003-09-30,-3.140232437438156
2003-10-31,-3.2870041546527653
2003-11-30,-3.4985470857007
2003-12-31,-3.513401310816597
2004-01-31,-3.4650613410497333
2004-02-29,-3.7030672085876466
2004-03-31,-3.1111763767700684
2004-04-30,-3.3476570468612863
2004-05-31,-3.465504072923295
2004-06-30,-3.585854204402475
2004-07-31,-3.5773152908117
2004-08-31,-3.269520662177099
2004-09-30,-3.627296825125463
2004-10-31,-3.35206685176624
2004-11-30,-3.5343348563403656
2004-12-31,-3.6150113932423364
2005-01-31,-3.5506041899092327
2005-02-28,-3.543820432764916
2005-03-31,-3.529146541570014
2005-04-30,-3.152720424000165
2005-05-31,-3.531069871409308
2005-06-30,-3.760011284416737
2005-07-31,-3.6707723008918243
2005-08-31,-3.63388825571129
2005-09-30,-3.6631012230129896
2005-10-31,-3.1557527692250877
2005-11-30,-3.763850153418103
2005-12-31,-3.873253742668005
2006-01-31,-3.4661978775292708
2006-02-28,-3.670294829123373
2006-03-31,-3.7601645367414083
2006-04-30,-3.7197949446689256
2006-05-31,-3.2999604149500312
2006-06-30,-3.085582461863455
2006-07-31,-3.2709844618608197
2006-08-31,-3.8405365199338846
2006-09-30,-3.783882481202963
2006-10-31,-3.8554878543326674
2006-11-30,-3.716627101662895
2006-12-31,-3.9701695128147905
2007-01-31,-3.8522491840295054
2007-02-28,-3.2447480356532115
2007-03-31,-3.222494860521297
2007-04-30,-3.72874609229336
2007-05-31,-3.6341144694358256
2007-06-30,-3.258361421759635
2007-07-31,-3.0061550064305833
2007-08-31,-2.633783081660371
2007-09-30,-3.1472509000198614
2007-10-31,-3.190739924075637
2007-11-30,-2.5877190247655277
2007-12-31,-3.02436059658321
2008-01-31,-2.661249374022387
2008-02-29,-2.8603506881048415
2008-03-31,-2.538344113377069
2008-04-30,-2.9300382779186895
2008-05-31,-3.204756024564677
2008-06-30,-2.8296817644581433
2008-07-31,-2.705460207716502
2008-08-31,-2.837812391125573
2008-09-30,-1.8529192183645744
2008-10-31,-1.4297161320393708
2008-11-30,-1.6563160121061842
2008-12-31,-1.9407740098745199
2009-01-31,-2.2065267536613185
2009-02-28,-2.29462394539225
2009-03-31,-1.9582508837470345
2009-04-30,-2.443587835277547
2009-05-31,-2.5321700284042636
2009-06-30,-2.8287513462734335
2009-07-31,-2.793345786712595
2009-08-31,-3.0644616714098785
2009-09-30,-3.130025280604083
2009-10-31,-2.7700971285615434
2009-11-30,-3.1107964455907346
2009-12-31,-3.4880632358514134
2010-01-31,-3.1051107340740476
2010-02-28,-3.0178391591893847
2010-03-31,-3.6861498116127502
2010-04-30,-3.157180799896046
2010-05-31,-2.407193011304442
2010-06-30,-2.5901316849494713
2010-07-31,-2.852932567849959
2010-08-31,-2.95304166400928
2010-09-30,-3.038118590021741
2010-10-31,-3.418407956833649
2010-11-30,-3.1787815912351842
2010-12-31,-3.553444149972958
2011-01-31,-3.5254625792369607
2011-02-28,-3.421017028944507
2011-03-31,-3.025656727253535
2011-04-30,-3.6813619979803685
2011-05-31,-3.4864984354795028
2011-06-30,-3.0353184736868135
2011-07-31,-3.1500524848844633
2011-08-31,-1.9665046707257416
2011-09-30,-2.4813062796527223
2011-10-31,-2.457655436729706
2011-11-30,-2.4359863431041875
2011-12-31,-2.9483163558607832
2012-01-31,-3.675354926367407
2012-02-29,-3.6938984477186816
2012-03-31,-3.3843465262657215
2012-04-30,-3.210146241345559
2012-05-31,-3.2497545069314557
2012-06-30,-2.836661528791819
2012-07-31,-3.2378719180591355
2012-08-31,-3.616681715429927
2012-09-30,-3.4378098591980444
2012-10-31,-3.48886940721639
2012-11-30,-3.130457558392097
2012-12-31,-3.438879816972799
2013-01-31,-3.512274326083625
2013-02-28,-3.3434701265797875
2013-03-31,-3.8179084623195907
2013-04-30,-3.1908617892956195
2013-05-31,-3.446126454815234
2013-06-30,-3.0453169802170232
2013-07-31,-3.802623427578242
2013-08-31,-3.4765909912871975
2013-09-30,-3.6937395473295953
2013-10-31,-3.276020052394718
2013-11-30,-3.6747290764851526
2013-12-31,-3.6040416781045184
2014-01-31,-3.3171375685353466
2014-02-28,-3.3386797926341574
2014-03-31,-3.525657862709205
2014-04-30,-3.2955126404999024
2014-05-31,-3.7483017283266418
2014-06-30,-4.087403595110627
2014-07-31,-3.4754874909402718
2014-08-31,-3.758175341489735
2014-09-30,-3.6148214505759886
2014-10-31,-2.9141171757759734
2014-11-30,-4.403441476450015
2014-12-31,-3.111828651063935
2015-01-31,-3.053119584061196
2015-02-28,-3.562245097331633
2015-03-31,-3.181612963632316
2015-04-30,-3.7301577097521137
2015-05-31,-3.515261724921692
2015-06-30,-3.4246395604529183
2015-07-31,-3.3798343245339058
2015-08-31,-2.5677025793447763
2015-09-30,-2.7509836865610584
2015-10-31,-3.2192591029627375
2015-11-30,-3.399480401007644
2015-12-31,-2.9313513610844177
2016-01-31,-2.721796067769684
2016-02-29,-2.975885937336674
2016-03-31,-3.3396579653309333
2016-04-30,-3.5543031478531373
2016-05-31,-3.457732751318138
2016-06-30,-2.9208097471793346
2016-07-31,-3.82748206452236
2016-08-31,-4.092448513398336
